Time,T1,T2
0.0,25.12,24.25
5.0,25.41,24.379
10.0,26.055,24.25
15.0,27.021,24.443
20.0,28.504,24.443
25.0,30.244,24.443
30.0,32.146,24.443
35.0,33.821,24.508
40.0,35.723,24.83
45.0,37.656,24.895
50.0,39.59,25.088
55.0,41.427,25.41
60.0,43.135,25.732
65.0,44.746,26.022
70.0,46.357,26.377
75.0,47.969,26.731
80.0,49.58,27.312
85.0,51.191,27.666
90.0,52.803,28.278
95.0,54.221,28.665
100.0,55.671,29.277
105.0,56.992,29.6
110.0,58.281,30.212
115.0,59.57,30.631
120.0,60.892,31.243
125.0,62.148,31.92
130.0,63.115,32.371
135.0,64.082,32.822
140.0,65.049,33.467
145.0,66.016,33.854
150.0,66.982,34.434
155.0,67.885,34.788
160.0,68.594,35.4
165.0,69.464,35.755
170.0,70.205,36.367
175.0,70.85,36.754
180.0,71.494,37.334
